Afghanistan	Afghanistan	37172386
Albania	Albania	2866376
Algeria	Algeria	42228429
Andorra	Andorra	77006
Angola	Angola	30809762
Antigua and Barbuda	Antigua and Barbuda	96286
Argentina	Argentina	44494502
Armenia	Armenia	2951776
Australia	Australia	24982688
Austria	Austria	8840521
Azerbaijan	Azerbaijan	9939800
Bahamas	Bahamas, The	385640
Bahrain	Bahrain	1569439
Bangladesh	Bangladesh	161356039
Barbados	Barbados	286641
Belarus	Belarus	9483499
Belgium	Belgium	11433256
Belize	Belize	383071
Benin	Benin	11485048
Bhutan	Bhutan	754394
Bolivia	Bolivia	11353142
Bosnia and Herzegovina	Bosnia and Herzegovina	3323929
Botswana	Botswana	2254126
Brazil	Brazil	209469333
Brunei	Brunei Darussalam	428962
Bulgaria	Bulgaria	7025037
Burkina Faso	Burkina Faso	19751535
Burundi	Burundi	11175378
Cabo Verde	Cabo Verde	543767
Cambodia	Cambodia	16249798
Cameroon	Cameroon	25216237
Canada	Canada	37057765
Central African Republic	Central African Republic	4666377
Chad	Chad	15477751
Chile	Chile	18729160
China	China	1392730000
Colombia	Colombia	49648685
Comoros	Comoros	832322
Congo (Brazzaville)	Congo, Dem. Rep.	84068091
Congo (Kinshasa)	Congo, Rep.	5244363
Costa Rica	Costa Rica	4999441
Cote d'Ivoire	Cote d'Ivoire	25069229
Croatia	Croatia	4087843
Cuba	Cuba	11338138
Cyprus	Cyprus	1189265
Czechia	Czech Republic	10629928
Denmark	Denmark	5793636
Djibouti	Djibouti	958920
Dominica	Dominica	71625
Dominican Republic	Dominican Republic	10627165
Ecuador	Ecuador	17084357
Egypt	Egypt, Arab Rep.	98423595
El Salvador	El Salvador	6420744
Equatorial Guinea	Equatorial Guinea	1308974
Estonia	Estonia	1321977
Eswatini	Eswatini	1136191
Ethiopia	Ethiopia	109224559
Fiji	Fiji	883483
Finland	Finland	5515525
France	France	66977107
Gabon	Gabon	2119275
Gambia	Gambia, The	2280102
Georgia	Georgia	3726549
Germany	Germany	82905782
Ghana	Ghana	29767108
Greece	Greece	10731726
Grenada	Grenada	111454
Guatemala	Guatemala	17247807
Guinea	Guinea	12414318
Guinea-Bissau	Guinea-Bissau	1874309
Guyana	Guyana	779004
Haiti	Haiti	11123176
Honduras	Honduras	9587522
Hungary	Hungary	9775564
Iceland	Iceland	352721
India	India	1352617328
Indonesia	Indonesia	267663435
Iraq	Iraq	38433600
Ireland	Ireland	4867309
Israel	Israel	8882800
Italy	Italy	60421760
Jamaica	Jamaica	2934855
Japan	Japan	126529100
Jordan	Jordan	9956011
Kazakhstan	Kazakhstan	18272430
Kenya	Kenya	51393010
Korea, South	Korea, Rep.	51606633
Kosovo	Kosovo	1845300
Kuwait	Kuwait	4137309
Kyrgyzstan	Kyrgyz Republic	6322800
Latvia	Latvia	1927174
Lebanon	Lebanon	6848925
Liberia	Liberia	4818977
Libya	Libya	6678567
Liechtenstein	Liechtenstein	37910
Lithuania	Lithuania	2801543
Luxembourg	Luxembourg	607950
Madagascar	Madagascar	26262368
Malawi	Malawi	18143315
Malaysia	Malaysia	31528585
Maldives	Maldives	515696
Mali	Mali	19077690
Malta	Malta	484630
Mauritania	Mauritania	4403319
Mauritius	Mauritius	1265303
Mexico	Mexico	126190788
Moldova	Moldova	2706049
Monaco	Monaco	38682
Mongolia	Mongolia	3170208
Montenegro	Montenegro	622227
Morocco	Morocco	36029138
Mozambique	Mozambique	29495962
Namibia	Namibia	2448255
Nepal	Nepal	28087871
Netherlands	Netherlands	17231624
New Zealand	New Zealand	4841000
Nicaragua	Nicaragua	6465513
Niger	Niger	22442948
Nigeria	Nigeria	195874740
North Macedonia	North Macedonia	2082958
Norway	Norway	5311916
Oman	Oman	4829483
Pakistan	Pakistan	212215030
Panama	Panama	4176873
Papua New Guinea	Papua New Guinea	8606316
Paraguay	Paraguay	6956071
Peru	Peru	31989256
Philippines	Philippines	106651922
Poland	Poland	37974750
Portugal	Portugal	10283822
Qatar	Qatar	2781677
Romania	Romania	19466145
Russia	Russian Federation	144478050
Rwanda	Rwanda	12301939
San Marino	San Marino	33785
Sao Tome and Principe	Sao Tome and Principe	211028
Saudi Arabia	Saudi Arabia	33699947
Senegal	Senegal	15854360
Serbia	Serbia	6982604
Seychelles	Seychelles	96762
Sierra Leone	Sierra Leone	7650154
Singapore	Singapore	5638676
Slovakia	Slovak Republic	5446771
Slovenia	Slovenia	2073894
Somalia	Somalia	15008154
South Africa	South Africa	57779622
South Sudan	South Sudan	10975920
Spain	Spain	46796540
Sri Lanka	Sri Lanka	21670000
Sudan	Sudan	41801533
Suriname	Suriname	575991
Sweden	Sweden	10175214
Switzerland	Switzerland	8513227
Syria	Syrian Arab Republic	16906283
Tajikistan	Tajikistan	9100837
Tanzania	Tanzania	56318348
Thailand	Thailand	69428524
Timor-Leste	Timor-Leste	1267972
Togo	Togo	7889094
Trinidad and Tobago	Trinidad and Tobago	1389858
Tunisia	Tunisia	11565204
Turkey	Turkey	82319724
Uganda	Uganda	42723139
Ukraine	Ukraine	44622516
United Arab Emirates	United Arab Emirates	9630959
United Kingdom	United Kingdom	66460344
Uruguay	Uruguay	3449299
US	US	326687501
Uzbekistan	Uzbekistan	32955400
Venezuela	Venezuela, RB	28870195
Vietnam	Vietnam	95540395
West Bank and Gaza	West Bank and Gaza	4569087
Yemen	Yemen, Rep.	28498687
Zambia	Zambia	17351822
Zimbabwe	Zimbabwe	14439018
